customer_id,name,email,signup_date,country
96,Charles Lee,michellehill@example.com,2024-09-09,Solomon Islands
177,Robert Kennedy,mullinsjames@example.com,2026-04-04,Australia
58,Lauren Dominguez,,2025-12-06,Timor-Leste
173,Jeanette Harrison,qzavala@example.net,2023-09-20,Solomon Islands
6,Corey Jones,kendragalloway@example.org,2026-04-09,Hong Kong
27,Edward Novak,,2025-02-06,Uruguay
125,Hunter Kramer,alfred40@example.org,2025-11-23,Malta
192,Thomas Brown,holmeskevin@example.org,2024-08-21,Russian Federation
10,Patrick Ryan,zhurst@example.com,2024-04-30,Burundi
196,Marilyn Wang,bmontgomery@example.com,2026-05-04,Mayotte
72,Douglas Carlson,angela83@example.org,2024-05-24,Ireland
51,Jason Soto,jennifercruz@example.com,not_a_date,Palau
169,Bobby Scott,anaacosta@example.net,2024-12-09,Singapore
CUST_25,Cynthia Russell,zlewis@example.org,2024-03-01,Afghanistan
53,Sylvia Martinez,lauriecontreras@example.net,2025-06-16,Zambia
150,Rebecca Vargas,william47@example.com,2023-10-14,Heard Island and McDonald Islands
85,Jessica Stephens,rebekahserrano@example.org,2023-11-07,Somalia
120,John Russell,antonio53@example.com,2025-01-02,Dominica
193,Travis Stone,meghan43@example.net,2026-07-17,Falkland Islands (Malvinas)
7,,,2025-07-29,Martinique
86,Paul Carroll,scott74@example.net,2024-11-17,Faroe Islands
122,Matthew May,williamsmatthew@example.org,2026-01-12,Costa Rica
108,Tony Huerta,danielle64@example.com,2026-03-17,Congo
184,Jacqueline Hines,alyssasanders@example.net,,Brazil
112,Amanda Diaz,christopherphillips@example.net,2024-12-01,Cook Islands
30,Christina Moran,josephanderson@example.net,2024-07-27,Germany
199,Bianca Wood,floressteven@example.com,2025-01-07,Cambodia
105,Michael Berger,nguyenbrian@example.com,2024-10-17,Cameroon
107,Mr. David Little MD,nolansteven@example.com,2025-09-14,Cayman Islands
CUST_89,Julie Pearson,howard96@example.net,2026-02-11,Bermuda
90,Jason Morris,hodgemark@example.net,2025-02-27,Panama
4,Phillip Garcia,wdavis@example.net,2024-06-18,Aruba
189,Richard Johnson,,2026-04-29,Bahrain
178,Evelyn Martinez,samuel67@example.com,2024-09-08,Colombia
152,Stephanie Cole,,2026-07-18,Korea
129,Lauren Joseph,hvang@example.com,2025-01-12,Netherlands
136,Lisa Barrett,anthony44@example.com,2024-09-21,Cocos (Keeling) Islands
183,Austin Osborne,michael90@example.net,2024-02-18,Korea
171,Linda Smith,jennifercarter@example.org,2025-07-07,Dominican Republic
5,Kimberly Dudley,smiller@example.net,2025-07-11,Tokelau
149,Maria Downs,michelle52@example.com,2023-11-16,Kenya
16,Dr. Cynthia Allen,millertodd@example.org,2026-08-09,Martinique
73,Peter Vaughn DDS,bwest@example.org,2024-07-21,Iraq
52,Stephanie Dalton,osbornejeffery@example.net,2025-03-23,Australia
62,Jesse Rogers,aramirez@example.com,2026-03-06,Latvia
135,Phillip Andrews,xbruce@example.net,2025-07-06,Norway
133,Bryan Gomez,uparrish@example.org,2026-07-30,Netherlands Antilles
80,Amy Hernandez,christopher31@example.net,2025-12-18,New Caledonia
43,William Herrera,wilsontara@example.org,2025-05-31,Estonia
113,Joshua Mata,maria47@example.com,2025-11-29,Guadeloupe
87,Katherine Miller,prestonjessica@example.net,2024-06-03,Bermuda
46,Ryan Cortez,william65@example.com,2025-10-06,Micronesia
132,Bradley Reynolds,lisa80@example.net,2026-07-17,Monaco
45,Michael Smith,michaeljones@example.net,2026-06-08,Nigeria
200,Dylan Cruz,kwright@example.com,2026-06-22,Saint Helena
124,Scott Thomas,amberlindsey@example.org,2025-08-27,Anguilla
140,Jose Reed,,not_a_date,Gambia
194,Eric Ferguson,brittanycarpenter@example.org,2025-08-24,Saint Helena
28,Brooke Yu,yorkcasey@example.org,2025-09-12,Dominica
CUST_92,Jose Travis,mgutierrez@example.net,2024-10-03,Saudi Arabia
104,Donna Perez,hamiltoncorey@example.net,2025-10-13,Bolivia
165,Michelle Black,mitchellkathryn@example.com,2025-01-07,Malaysia
66,Laura Odonnell,tsanders@example.org,2023-11-25,Portugal
22,Jason Shields,nuneztracey@example.org,2023-11-08,Saint Lucia
61,Mary Miller,dtaylor@example.org,2023-10-28,Hong Kong
67,Dana Terry,melissa91@example.net,2026-01-07,Guatemala
154,Lisa Cox,paul59@example.org,2026-01-14,Oman
126,Arthur West,william17@example.net,2024-05-02,Nicaragua
79,Cody Williams,ewilson@example.com,2025-02-22,Morocco
174,David Sandoval,,2024-01-27,Guinea
11,Ann Williams,hernandezernest@example.net,2024-12-08,Bahrain
74,Elizabeth Perkins,wtran@example.com,2026-08-30,Mexico
8,,gabriellecameron@example.org,2024-05-11,Antigua and Barbuda
31,Taylor Smith,jonesjason@example.com,2024-01-26,Guernsey
130,,russellbeasley@example.com,2024-09-08,Korea
47,Jason Bentley,christinaturner@example.net,2026-03-04,Gabon
106,Jason Maldonado,georgemiller@example.com,2025-07-13,Dominican Republic
3,Connie Lawrence,blakeerik@example.com,2024-09-09,Cape Verde
168,Andrew Lowery,ihorton@example.net,2025-01-29,Nicaragua
167,Cynthia Vang,jeffrey51@example.net,31/02/2024,Somalia
123,Phillip Clark,lisahall@example.org,2026-01-14,Nepal
101,Ariana Lozano,bowenrobert@example.net,2026-08-01,Belarus
121,Ariana Jennings,bruce43@example.org,2026-07-09,Swaziland
164,Ruth Solis,,2026-04-18,Micronesia
139,Luke Craig,scott67@example.net,2024-12-30,Faroe Islands
48,Jeffrey Carpenter,steven73@example.net,2025-02-02,United Arab Emirates
20,Andre Rivera,joshuawashington@example.net,2024-01-26,Vietnam
186,Thomas Henry,taylorcharles@example.org,2026-05-14,Kenya
78,Melissa Martinez,agarcia@example.net,2024-07-10,Lesotho
179,Jonathan Glass MD,acostachristian@example.net,2026-08-28,Cocos (Keeling) Islands
82,Marc Lynch,mezajared@example.org,2024-06-19,Belgium
39,Nicole Frost,michellecherry@example.org,2026-04-26,Anguilla
151,Angela Lin,gilbertwilliam@example.com,2025-05-31,Zimbabwe
14,Pamela Romero,harrellkenneth@example.net,2025-03-12,Congo
147,Susan Bailey,joelthomas@example.org,2024-03-11,Cape Verde
23,Scott Wright,,2024-07-04,Egypt
65,Carol Lawson,stricklandfrank@example.com,2023-12-30,Anguilla
34,Brittney Campbell,jenniferharris@example.net,2026-03-25,Madagascar
100,Marissa Hernandez,martineztammy@example.com,2026-04-13,Tunisia
115,Ann Foster,amanda75@example.net,2025-12-01,Estonia
1,Allison Hill,donaldgarcia@example.net,2026-05-07,Benin
198,John Peterson,larryhiggins@example.net,2026-08-20,Guatemala
188,Michael Graves,laurahicks@example.org,2026-08-17,Somalia
56,,patricia12@example.org,2024-05-13,Puerto Rico
38,Amanda Howard,elizabethgomez@example.net,2026-04-29,Ireland
